n_por_grupo,d,p_bf3,p_bf6,p_bf10,p_nulo
24,0.8,0.6318985945968153,0.49874892399401494,0.4092918875038312,0.014713369810951848
24,1.0,0.8433313034546531,0.7460420773281491,0.666911564805902,0.0021000347023126514
26,0.0,0.018401434222740373,0.007554221805398195,0.003986492161829495,0.48872027263296447
26,0.5,0.272765224404499,0.1755925311216549,0.12503314976949256,0.11969458735641053
26,0.65,0.46854825925467997,0.34054489457355047,0.26370614636247663,0.04494660887645762
26,0.8,0.6724034085863884,0.5438674409732002,0.45464164333124013,0.012961065179313237
26,1.0,0.8743117516965193,0.7895289391902448,0.7178314375048335,0.0016261478972142292
28,0.0,0.018090944391313427,0.007465576079574288,0.003952388838481622,0.5201172706550263
28,0.5,0.2942222810000651,0.1932531117009239,0.13958027500190354,0.1179864110502956
28,0.65,0.5021571771275692,0.37314504457554815,0.29365590521852847,0.04185813898462529
28,0.8,0.7094665010622824,0.5865771342052745,0.49861927460034566,0.011197336622533081
28,1.0,0.8997645778185549,0.8267859777583193,0.7627751554209532,0.0012328105864976094
30,0.0,0.017795143832535592,0.0073783541737145256,0.003917677280562635,0.5464945742114355
30,0.5,0.31559095621143585,0.2112028410245824,0.15458431598850828,0.11489981739258043
30,0.65,0.5345068122334511,0.40536093354226727,0.3238138597115763,0.038503827045313035
30,0.8,0.7431829122909127,0.6266977115820709,0.5408843770914507,0.009548728635794054
30,1.0,0.9205042714441114,0.858372266261258,0.8019659864638127,0.0009211168731683955
32,0.0,0.017512958463940673,0.007292816440692417,0.0038826825601446274,0.5690892442835773
32,0.5,0.3368272148351305,0.22939004342553973,0.17000012732597422,0.11095624031415299
32,0.65,0.56552914869871,0.4370376614729331,0.3540004707140096,0.03511282332726481
32,0.8,0.7736918345941464,0.6641260443080869,0.5811768073738768,0.008067424337080669
32,1.0,0.9372775270872521,0.8848991218739038,0.8357711082140579,0.0006808936643059109
34,0.0,0.01724341120531216,0.007209128730386946,0.0038476470742127714,0.5887401250760012
34,0.5,0.35789040267669625,0.24776527679289917,0.1857833269953997,0.10649394381797672
34,0.65,0.5951767925414938,0.46804172650799786,0.3840522032605557,0.03181622814715772
34,0.8,0.801163645147991,0.6988235764630181,0.6193087816956775,0.006768220093422384
34,1.0,0.9507504383840172,0.9069869297838842,0.8646459956489164,0.0004991574694721205
36,0.0,0.01698561280457213,0.007127389679485362,0.003812751936008794,0.6060421420126834
36,0.5,0.37874316549387266,0.26628135680529463,0.2018904188568169,0.10173950614338997
36,0.65,0.623420494137155,0.4982597841128414,0.4138216133595157,0.02868766921984934
36,0.8,0.82578919086246,0.730804668489601,0.6551564666576947,0.005646993492859843
36,1.0,0.9615045594186998,0.9252352861036826,0.8890906389636852,0.00036348965724690646
38,0.0,0.016738753441158088,0.007047649934378626,0.0037781323456896,0.6214320642670725
38,0.5,0.39935135742944095,0.2848933789799943,0.21827891160177218,0.09684799050064959
38,0.65,0.6502468370827897,0.5275973254012477,0.44317719704020686,0.025765893847076785
38,0.8,0.8477710734554618,0.7601260230596095,0.6886514646157985,0.004690450227606682
38,1.0,0.9700388182390213,0.940203758363874,0.9096165288808107,0.00026323125526058497
40,0.0,0.016502094985867886,0.006969925844428004,0.003743888796213281,0.6352395227465788
40,0.5,0.41968393948309635,0.30355873472479583,0.23490743034627173,0.09192694464496608
40,0.65,0.675656094593533,0.5559773028244203,0.47200303861010673,0.023068049939180015
40,0.8,0.8673166868412843,0.7868772670259414,0.7197724990793143,0.003881416941831462
40,1.0,0.9767750302110005,0.9524008035739385,0.92672294154893,0.00018973002825817994
42,0.0,0.016274963941719584,0.006894209309877076,0.003710095345087938,0.6477189922569107
42,0.5,0.43971286978609386,0.322237119350992,0.25173581851039795,0.0870514265500682
42,0.65,0.6996602539956744,0.583338729505392,0.5001982933786712,0.020597811060354146
42,0.8,0.8846327695983373,0.811172704927623,0.7485375212520307,0.0032017322363422514
42,1.0,0.9820653814408548,0.9622787213095134,0.94088091983164,0.00013619522898939348
